,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
0,AST-02,79,1517.25,NLLFR,"Basaal Zand van Dongen",16.1,16.1,4.8,6.6,7.1,5,2.4,2.5,4.7,39.7,9.7,0.8,0.3,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.161,,,69,6.9E-05,9.14,,24.3,2.66,0.243,9.020478962E-15,1517.3,48.271393,2.246239,0.048097,26.179676,,,,,,101.068461319041,-10.7970246579907,1.58297507904487,-4.68908822993976,1.58297507904487,6.3097655059722E-05
1,AST-02,80,1517.75,NLLFR,"Basaal Zand van Dongen",13.6,13.6,5.4,12.8,13.1,9.1,4.4,9.6,17.1,12.3,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.136,,,56,5.6E-05,10.7,,28.4,2.65,0.284,1.056007931E-14,1517.8,50.471313,2.214602,0.027415,25.983631,,,,,,143.549090329391,-11.057564863472,1.43568916882876,-4.8022394034935,1.43568916882876,2.39146058553219E-05
2,AST-02,81,1518.22,NLLFR,"Basaal Zand van Dongen",56.7,56.7,0,1.6,1.6,1,0,3.8,11.6,20.7,1.8,0.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.567,,,69,6.9E-05,28.3,,30.7,2.66,0.307,2.792992939E-14,1518.2,49.193977,2.228571,0.030695,25.376404,,,,,,24.2654953476055,-12.7321295620529,2.55046271548177,-5.52949361167773,2.55046271548177,3.2718184844513E-07
3,AST-02,82,1518.75,NLLFR,"Basaal Zand van Dongen",16.2,16.2,6.4,8.1,6.8,5,2,3,9.5,38,3.9,0.3,0.1,0,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0.162,,,69,6.9E-05,67.5,,28.8,2.66,0.288,6.661732275E-14,1518.8,51.049301,2.340439,0.059385,25.968479,,,,,,117.839433519406,-11.0362384709788,2.07809328349173,-4.79297746891337,2.07809328349173,5.02995961209688E-05
4,AST-02,83,1519.25,NLLFR,"Basaal Zand van Dongen",16.5,16.5,6.9,12.6,10.9,8.4,4.6,6.2,10.5,22.2,0.8,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.165,,,69,6.9E-05,2.42,,23.7,2.65,0.237,2.388354386E-15,1519.3,49.683685,2.256829,0.032711,25.871574,,,,,,148.004649020728,-11.7206999062238,2.54716545832405,-5.09023529331656,2.54716545832405,2.12490723516946E-05
5,AST-02,84,1519.8,NLLFR,"Basaal Zand van Dongen",15.9,15.9,5.2,12.2,12.2,9.6,6.3,11,17.4,8.9,0.5,0.2,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.159,,,56,5.6E-05,5.4,,27.2,2.65,0.272,5.32938582E-15,1519.8,46.468712,2.223472,0.031916,26.424896,,,,,,139.66304097031,-11.1464283984623,1.41815660756574,-4.84083234638238,1.41815660756574,1.74387075528432E-05
6,AST-02,85,1520.28,NLLFR,"Basaal Zand van Dongen",12.7,12.7,4,8.7,8.8,7.5,5.9,12.7,22.2,15.8,1.2,0.2,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.127,,,56,5.6E-05,16.4,,29.4,2.66,0.294,1.618554212E-14,1520.3,49.367485,2.212817,0.028684,26.405415,,,,,,113.612573816067,-10.9415815611965,1.51927579125054,-4.75186849532307,1.51927579125054,4.97014991556019E-05
7,AST-02,86,1520.75,NLLFR,"Basaal Zand van Dongen",13.4,13.4,8.2,12.1,11.5,8.2,4.6,8.1,5.7,25.5,1.8,0.2,0,0,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0,0,0,0,0,0,0.134,,,69,6.9E-05,11.7,,22.9,2.65,0.229,1.154700261E-14,1520.8,47.7257,2.211485,0.025125,26.70826,,,,,,157.338022918909,-11.1198052488505,1.43196853166415,-4.82927005941546,1.43196853166415,2.13627566180866E-05
8,AST-02,87,1521.25,NLLFR,"Basaal Zand van Dongen",13.4,13.4,9,13,10.1,6.3,3.4,6.2,10.4,26.5,1.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.134,,,69,6.9E-05,6.58,,24.1,2.65,0.241,6.493955314E-15,1521.3,50.463249,2.21371,0.032033,26.856335,,,,,,162.120553880357,-11.0068138636198,1.44836327362283,-4.78019852430556,1.44836327362283,1.79795399984077E-05
9,AST-02,88,1522.1,NLLFR,"Basaal Zand van Dongen",15,15,5.1,8.8,6,4,2.6,14.1,34.5,9.1,0.3,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.15,,,56,5.6E-05,27.3,,31.2,2.64,0.312,2.694300609E-14,1522.1,46.484718,2.232432,0.038924,25.942062,,,,,,113.867697025424,-10.7333519887278,1.36229307181425,-4.66143554103092,1.36229307181425,4.8414558023887E-05
