,Unnamed: 0,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
0,0,AST-02,79,1517.25,NLLFR,Basaal Zand van Dongen,16.1,16.1,4.8,6.6,7.1,5.0,2.4,2.5,4.7,39.7,9.7,0.8,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,,,69.0,6.9e-05,9.14,,24.3,2.66,0.243,9.020478962e-15,1517.3,48.271392999999996,2.246239,0.048097,26.179676,,,,,,101.06846131904142,-10.18278257867624,1.0386553521807385,-4.422326284339658,1.0386553521807385,7.213292782145667e-05
1,1,AST-02,80,1517.75,NLLFR,Basaal Zand van Dongen,13.6,13.6,5.4,12.8,13.1,9.1,4.4,9.6,17.1,12.3,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.136,,,56.0,5.6000000000000006e-05,10.7,,28.4,2.65,0.284,1.056007931e-14,1517.8,50.471313,2.214602,0.027415,25.983631,,,,,,143.54909032939148,-10.606105406922005,1.083924043024096,-4.60617305271047,1.083924043024096,3.110661050957795e-05
2,2,AST-02,81,1518.22,NLLFR,Basaal Zand van Dongen,56.7,56.7,0.0,1.6,1.6,1.0,0.0,3.8,11.6,20.7,1.8,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670000000000001,,,69.0,6.9e-05,28.3,,30.7,2.66,0.307,2.7929929389999996e-14,1518.2,49.193977000000004,2.228571,0.030695,25.376404,,,,,,24.265495347605512,-9.814925755129558,0.587841290517571,-4.262568095742876,0.587841290517571,7.25435706261138e-05
3,3,AST-02,82,1518.75,NLLFR,Basaal Zand van Dongen,16.2,16.2,6.4,8.1,6.8,5.0,2.0,3.0,9.5,38.0,3.9,0.3,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,,,69.0,6.9e-05,67.5,,28.8,2.66,0.28800000000000003,6.661732275e-14,1518.8,51.049301,2.340439,0.059385,25.968479000000002,,,,,,117.83943351940594,-10.2183482535805,1.0290482624770079,-4.437772260695742,1.0290482624770079,7.350926746195963e-05
4,4,AST-02,83,1519.25,NLLFR,Basaal Zand van Dongen,16.5,16.5,6.9,12.6,10.9,8.4,4.6,6.2,10.5,22.2,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,,,69.0,6.9e-05,2.42,,23.7,2.65,0.237,2.3883543859999998e-15,1519.3,49.683685,2.256829,0.032711000000000004,25.871574,,,,,,148.00464902072852,-10.676740332693354,1.1122530570310858,-4.636849411202613,1.1122530570310858,3.004182365643929e-05
5,5,AST-02,84,1519.8,NLLFR,Basaal Zand van Dongen,15.9,15.9,5.2,12.2,12.2,9.6,6.3,11.0,17.4,8.9,0.5,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,,,56.0,5.6000000000000006e-05,5.4,,27.2,2.65,0.272,5.32938582e-15,1519.8,46.468712,2.223472,0.031916,26.424896,,,,,,139.6630409703096,-10.663966429878615,0.9111209853766563,-4.631301775697803,0.9111209853766563,3.1129147335891486e-05
6,6,AST-02,85,1520.28,NLLFR,Basaal Zand van Dongen,12.7,12.7,4.0,8.7,8.8,7.5,5.9,12.7,22.2,15.8,1.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,,,56.0,5.6000000000000006e-05,16.4,,29.4,2.66,0.294,1.618554212e-14,1520.3,49.367484999999995,2.212817,0.028683999999999998,26.405415,,,,,,113.6125738160674,-10.429441908405183,0.8861542054558524,-4.529449070150891,0.8861542054558524,3.595932196381904e-05
7,7,AST-02,86,1520.75,NLLFR,Basaal Zand van Dongen,13.4,13.4,8.2,12.1,11.5,8.2,4.6,8.1,5.7,25.5,1.8,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.134,,,69.0,6.9e-05,11.7,,22.9,2.65,0.22899999999999998,1.154700261e-14,1520.8,47.7257,2.2114849999999997,0.025125,26.70826,,,,,,157.33802291890873,-10.701827318962755,1.1493878130787607,-4.647744550906995,1.1493878130787607,3.245448911218613e-05
8,8,AST-02,87,1521.25,NLLFR,Basaal Zand van Dongen,13.4,13.4,9.0,13.0,10.1,6.3,3.4,6.2,10.4,26.5,1.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,,,69.0,6.9e-05,6.58,,24.1,2.65,0.24100000000000002,6.493955314e-15,1521.3,50.463249,2.21371,0.032033,26.856334999999998,,,,,,162.1205538803569,-10.651614414094531,1.146017058253904,-4.625937363402391,1.146017058253904,4.760392423963342e-05
9,9,AST-02,88,1522.1,NLLFR,Basaal Zand van Dongen,15.0,15.0,5.1,8.8,6.0,4.0,2.6,14.1,34.5,9.1,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,,56.0,5.6000000000000006e-05,27.3,,31.2,2.64,0.312,2.6943006089999994e-14,1522.1,46.484718,2.2324319999999997,0.038924,25.942062,,,,,,113.8676970254241,-10.416652283091963,0.9186598675998412,-4.52389460645175,0.9186598675998412,5.3223586193645784e-05
