porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction
0.0264336,1.91184818122921E-16,0,0.33333,0.33333,0.33333,14.8
0.0268531,9.39860509879619E-17,0,0.33333,0.33333,0.33333,14.8
0.031049,9.39687397120419E-17,0,0.33333,0.33333,0.33333,14.8
0.0314685,3.74556555262253E-16,0,0.33333,0.33333,0.33333,14.8
0.0318881,1.91141241377989E-16,0,0.33333,0.33333,0.33333,14.8
0.033986,9.39579217838205E-17,0,0.33333,0.33333,0.33333,14.8
0.033986,9.39579217838205E-17,0,0.33333,0.33333,0.33333,14.8
0.0352448,1.8182491877407E-16,0,0.33333,0.33333,0.33333,14.8
0.0356643,7.33833277838015E-16,0,0.33333,0.33333,0.33333,14.8
0.0356643,7.33833277838015E-16,0,0.33333,0.33333,0.33333,14.8
0.0360839,2.74269428914968E-16,0,0.33333,0.33333,0.33333,14.8
0.0365035,5.86403295394695E-16,0,0.33333,0.33333,0.33333,14.8
0.0369231,5.44160986899158E-16,0,0.33333,0.33333,0.33333,14.8
0.0373427,1.93493509724467E-16,0,0.33333,0.33333,0.33333,14.8
0.0381818,9.75176893426825E-17,0,0.33333,0.33333,0.33333,14.8
0.0386014,1.48945848296274E-16,0,0.33333,0.33333,0.33333,14.8
0.039021,6.31849145117644E-16,0,0.33333,0.33333,0.33333,14.8
0.0394406,2.77669003853784E-16,0,0.33333,0.33333,0.33333,14.8
0.0398601,3.79119743823716E-16,0,0.33333,0.33333,0.33333,14.8
0.0402797,1.89101686553553E-15,0,0.33333,0.33333,0.33333,14.8
0.0402797,1.89101686553553E-15,0,0.33333,0.33333,0.33333,14.8
0.0406993,4.62727597753281E-16,0,0.33333,0.33333,0.33333,14.8
0.0411189,3.75184944185593E-15,0,0.33333,0.33333,0.33333,14.8
0.0411189,3.75184944185593E-15,0,0.33333,0.33333,0.33333,14.8
0.0423776,2.14170870675571E-15,0,0.33333,0.33333,0.33333,14.8
0.0427972,6.47687331080619E-16,0,0.33333,0.33333,0.33333,14.8
0.0436364,5.71804280619298E-16,0,0.33333,0.33333,0.33333,14.8
0.0444755,1.98728613358247E-15,0,0.33333,0.33333,0.33333,14.8
0.0448951,3.56891662417263E-15,0,0.33333,0.33333,0.33333,14.8
0.0453147,1.14866397902677E-15,0,0.33333,0.33333,0.33333,14.8
0.0461538,5.18586733250106E-15,0,0.33333,0.33333,0.33333,14.8
0.046993,1.52967582176801E-15,0,0.33333,0.33333,0.33333,14.8
0.0474126,8.51742665029298E-16,0,0.33333,0.33333,0.33333,14.8
