,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
0,0.0264336,1.9118481812292098e-16,0,0.33333,0.33333,0.33333,14.8,1.3695650178054987e-22,3.8460658841212977e-25,2.247143280465003e-26,1.058399929008813e-24,4.0533466081070544e-19,0.0,4.0533466081070544e-19
1,0.0268531,9.39860509879619e-17,0,0.33333,0.33333,0.33333,14.8,1.4519131211578746e-22,4.0751330847032654e-25,2.359406326876617e-26,1.1182388394888556e-24,8.769314657184013e-19,0.0,8.769314657184013e-19
2,0.031049,9.39687397120419e-17,0,0.33333,0.33333,0.33333,14.8,2.4906142452154017e-22,6.955928606663377e-25,3.7023744163807774e-26,1.859022371754012e-24,3.102644306391362e-17,0.0,3.102644306391362e-17
3,0.0314685,3.74556555262253e-16,0,0.33333,0.33333,0.33333,14.8,2.6183226080165677e-22,7.309242121424529e-25,3.860220512144509e-26,1.948676035649145e-24,3.8004478925028374e-17,0.0,3.8004478925028374e-17
4,0.031888099999999996,1.91141241377989e-16,0,0.33333,0.33333,0.33333,14.8,2.7508481213804564e-22,7.675715327755564e-25,4.022682583739046e-26,2.041443269142966e-24,4.5969063766815063e-17,0.0,4.5969063766815063e-17
5,0.033986,9.395792178382049e-17,0,0.33333,0.33333,0.33333,14.8,3.489377940306073e-22,9.715198449498098e-25,4.9062294406137486e-26,2.5539855985868018e-24,1.0294082374855305e-16,0.0,1.0294082374855305e-16
6,0.033986,9.395792178382049e-17,0,0.33333,0.33333,0.33333,14.8,3.489377940306073e-22,9.715198449498098e-25,4.9062294406137486e-26,2.5539855985868018e-24,1.0294082374855305e-16,0.0,1.0294082374855305e-16
7,0.03524480000000001,1.8182491877406999e-16,0,0.33333,0.33333,0.33333,14.8,3.997647922728363e-22,1.1116442009793514e-24,5.496111732501334e-26,2.9029797614171403e-24,1.533329283839529e-16,0.0,1.533329283839529e-16
8,0.0356643,7.338332778380151e-16,0,0.33333,0.33333,0.33333,14.8,4.178634990819024e-22,1.1614996545831106e-24,5.703100799923263e-26,3.0266117645436222e-24,1.7324791924578435e-16,0.0,1.7324791924578435e-16
9,0.0356643,7.338332778380151e-16,0,0.33333,0.33333,0.33333,14.8,4.178634990819024e-22,1.1614996545831106e-24,5.703100799923263e-26,3.0266117645436222e-24,1.7324791924578435e-16,0.0,1.7324791924578435e-16
10,0.0360839,2.74269428914968e-16,0,0.33333,0.33333,0.33333,14.8,4.365683358560419e-22,1.2130039466928682e-24,5.915472736992597e-26,3.1540578048149055e-24,1.9484768500477345e-16,0.0,1.9484768500477345e-16
11,0.0365035,5.86403295394695e-16,0,0.33333,0.33333,0.33333,14.8,4.558881887735099e-22,1.2661804325709655e-24,6.133256420666129e-26,3.2853617004726882e-24,2.181997521085705e-16,0.0,2.181997521085705e-16
12,0.0369231,5.441609868991579e-16,0,0.33333,0.33333,0.33333,14.8,4.758363379437839e-22,1.3210645475245506e-24,6.356529820616666e-26,3.420596957001081e-24,2.433766739757686e-16,0.0,2.433766739757686e-16
13,0.0373427,1.9349350972446698e-16,0,0.33333,0.33333,0.33333,14.8,4.964262143642737e-22,1.3776921162536908e-24,6.585371288392892e-26,3.559837743108436e-24,2.7045148071251496e-16,0.0,2.7045148071251496e-16
14,0.0381818,9.75176893426825e-17,0,0.33333,0.33333,0.33333,14.8,5.395803277124208e-22,1.4963082981453458e-24,7.060015815394722e-26,3.8506002589603434e-24,3.305816084314009e-16,0.0,3.305816084314009e-16
15,0.0386014,1.48945848296274e-16,0,0.33333,0.33333,0.33333,14.8,5.621773257986312e-22,1.5583846474111535e-24,7.306034044730496e-26,4.002308291031183e-24,3.6379254113087296e-16,0.0,3.6379254113087296e-16
16,0.039021,6.318491451176441e-16,0,0.33333,0.33333,0.33333,14.8,5.8547129332511005e-22,1.6223516652873545e-24,7.557937578614292e-26,4.1583251822154344e-24,3.9919827878446333e-16,0.0,3.9919827878446333e-16
17,0.0394406,2.7766900385378394e-16,0,0.33333,0.33333,0.33333,14.8,6.094764252702371e-22,1.6882471468107104e-24,7.815806701097752e-26,4.318728448132975e-24,4.3687427296408574e-16,0.0,4.3687427296408574e-16
18,0.0398601,3.7911974382371603e-16,0,0.33333,0.33333,0.33333,14.8,6.342010899385671e-22,1.7560928755252752e-24,8.079658463817987e-26,4.483556450462129e-24,4.76886643530901e-16,0.0,4.76886643530901e-16
19,0.040279699999999995,1.89101686553553e-15,0,0.33333,0.33333,0.33333,14.8,6.5967157730354965e-22,1.8259597842297947e-24,8.349699712161892e-26,4.652966626081104e-24,5.193308897147587e-16,0.0,5.193308897147587e-16
20,0.040279699999999995,1.89101686553553e-15,0,0.33333,0.33333,0.33333,14.8,6.5967157730354965e-22,1.8259597842297947e-24,8.349699712161892e-26,4.652966626081104e-24,5.193308897147587e-16,0.0,5.193308897147587e-16
21,0.04069930000000001,4.627275977532809e-16,0,0.33333,0.33333,0.33333,14.8,6.858967418229835e-22,1.897870932452826e-24,8.62594973548801e-26,4.826999768289154e-24,5.642746913959711e-16,0.0,5.642746913959711e-16
22,0.0411189,3.75184944185593e-15,0,0.33333,0.33333,0.33333,14.8,7.1289140157679945e-22,1.9718657207719706e-24,8.908490392199047e-26,5.005736109427229e-24,6.117954838533472e-16,0.0,6.117954838533472e-16
23,0.0411189,3.75184944185593e-15,0,0.33333,0.33333,0.33333,14.8,7.1289140157679945e-22,1.9718657207719706e-24,8.908490392199047e-26,5.005736109427229e-24,6.117954838533472e-16,0.0,6.117954838533472e-16
24,0.0423776,2.1417087067557102e-15,0,0.33333,0.33333,0.33333,14.8,7.986357962804766e-22,2.2067325794119338e-24,9.794607983842376e-26,5.570930266312657e-24,7.705880916554987e-16,0.0,7.705880916554987e-16
