,sample,reference,clay_type,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,notes,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
0,1,Al-Tabbaa_Wood_1987,kaolinite,0.49337159124526003,5.0877761204708294e-17,1,1,0,0,15,vertical_permeability,5.601359961922857e-17,1.396970211011057e-19,1.0888830422847297e-21,5.601359961922869e-17,1.79280034601306e-10,0.0,5.601359961922869e-17
1,2,Al-Tabbaa_Wood_1987,kaolinite,0.49473815986680003,4.6565470196812396e-17,1,1,0,0,15,vertical_permeability,5.712992065402359e-17,1.4245528684447314e-19,1.10697202570124e-21,5.712992065402378e-17,1.8277193434327098e-10,0.0,5.712992065402378e-17
2,3,Al-Tabbaa_Wood_1987,kaolinite,0.49619678993635996,1.42786777611326e-16,1,1,0,0,15,horizontal permeability,5.834592931752029e-17,1.4545930316586785e-19,1.1266101086351921e-21,5.834592931752021e-17,1.8657466593291627e-10,0.0,5.834592931752021e-17
3,4,Al-Tabbaa_Wood_1987,kaolinite,0.49908691665285,4.6007643843277095e-17,1,1,0,0,15,vertical_permeability,6.083216077389879e-17,1.5159948904265323e-19,1.166553605338074e-21,6.083216077389856e-17,1.9434659677973292e-10,0.0,6.083216077389856e-17
4,5,Al-Tabbaa_Wood_1987,kaolinite,0.5006520168947299,5.61685215441802e-17,1,1,0,0,15,vertical_permeability,6.222244090800106e-17,1.5503201946692506e-19,1.188771748515984e-21,6.222244090800091e-17,1.9869088934986452e-10,0.0,6.222244090800091e-17
5,6,Al-Tabbaa_Wood_1987,kaolinite,0.50228680795271,1.5265814914759099e-16,1,1,0,0,15,horizontal permeability,6.370857961903738e-17,1.5870044128926902e-19,1.2124314049925236e-21,6.370857961903757e-17,2.0333343450685954e-10,0.0,6.370857961903757e-17
6,7,Al-Tabbaa_Wood_1987,kaolinite,0.50841923975336,1.5846012443066998e-16,1,1,0,0,15,horizontal permeability,6.960742451648211e-17,1.7325371872320513e-19,1.3054684336899672e-21,6.960742451648194e-17,2.2174881864059212e-10,0.0,6.960742451648194e-17
7,8,Al-Tabbaa_Wood_1987,kaolinite,0.5133162688845,1.64065774348504e-16,1,1,0,0,15,horizontal permeability,7.470963553815514e-17,1.8583241129728567e-19,1.3848926505470646e-21,7.470963553815544e-17,2.376634706793564e-10,0.0,7.470963553815544e-17
8,9,Al-Tabbaa_Wood_1987,kaolinite,0.51439983788927,5.106719369197571e-17,1,1,0,0,15,vertical_permeability,7.588854851605288e-17,1.887376920453346e-19,1.4031150460117184e-21,7.588854851605258e-17,2.4133907861436985e-10,0.0,7.588854851605258e-17
9,10,Al-Tabbaa_Wood_1987,kaolinite,0.51756414218268,1.73243118452408e-16,1,1,0,0,15,horizontal permeability,7.943978030435113e-17,1.97486770909033e-19,1.4577275430877883e-21,7.943978030435087e-17,2.524077244440477e-10,0.0,7.943978030435087e-17
10,11,Al-Tabbaa_Wood_1987,kaolinite,0.52303009430945,1.84757464074647e-16,1,1,0,0,15,horizontal permeability,8.59742933580011e-17,2.135764100218712e-19,1.5571834366380502e-21,8.5974293358001e-17,2.727628195153477e-10,0.0,8.5974293358001e-17
11,12,Al-Tabbaa_Wood_1987,kaolinite,0.52489486513386,7.843194637158201e-17,1,1,0,0,15,vertical_permeability,8.832596499900862e-17,2.193640313484525e-19,1.592666680915173e-21,8.832596499900866e-17,2.8008489054663496e-10,0.0,8.832596499900866e-17
12,13,Al-Tabbaa_Wood_1987,kaolinite,0.52792745218626,1.89886020357654e-16,1,1,0,0,15,horizontal permeability,9.22905354696142e-17,2.291179197764062e-19,1.6521362752470554e-21,9.229053546961425e-17,2.9242514030264605e-10,0.0,9.229053546961425e-17
13,14,Al-Tabbaa_Wood_1987,kaolinite,0.53342832316614,1.96127725854669e-16,1,1,0,0,15,horizontal permeability,9.994946619558553e-17,2.4795014989642025e-19,1.7658495228474357e-21,9.994946619558532e-17,3.16252881064393e-10,0.0,9.994946619558532e-17
14,15,Al-Tabbaa_Wood_1987,kaolinite,0.53568610443747,9.67551281803144e-17,1,1,0,0,15,vertical_permeability,1.0327747901607318e-16,2.5612907114491394e-19,1.8148076735229114e-21,1.0327747901607303e-16,3.2660241568352167e-10,0.0,1.0327747901607303e-16
15,16,Al-Tabbaa_Wood_1987,kaolinite,0.53573180670973,6.13526029156499e-17,1,1,0,0,15,vertical_permeability,1.03345999218293e-16,2.562974406281728e-19,1.815812906289302e-21,1.033459992182928e-16,3.2681547660915226e-10,0.0,1.033459992182928e-16
16,17,Al-Tabbaa_Wood_1987,kaolinite,0.53893892887604,2.0009534834211297e-16,1,1,0,0,15,horizontal permeability,1.082720624185939e-16,2.6839923627889756e-19,1.887798099745539e-21,1.0827206241859395e-16,3.421304163227281e-10,0.0,1.0827206241859395e-16
17,18,Al-Tabbaa_Wood_1987,kaolinite,0.54256226623079,2.09209303017355e-16,1,1,0,0,15,horizontal permeability,1.1412694258776968e-16,2.827762850828626e-19,1.972657693658811e-21,1.1412694258776958e-16,3.6032719163396443e-10,0.0,1.1412694258776958e-16
18,19,Al-Tabbaa_Wood_1987,kaolinite,0.54760567963807,8.16948900519606e-17,1,1,0,0,15,vertical_permeability,1.228207837620375e-16,3.0411219276295463e-19,2.0973560957345146e-21,1.2282078376203772e-16,3.8733730109668417e-10,0.0,1.2282078376203772e-16
19,20,Al-Tabbaa_Wood_1987,kaolinite,0.55112659854598,2.12433005048183e-16,1,1,0,0,15,horizontal permeability,1.2929056556775231e-16,3.1998088607873297e-19,2.1892067196964095e-21,1.2929056556775244e-16,4.074310251826148e-10,0.0,1.2929056556775244e-16
20,21,Al-Tabbaa_Wood_1987,kaolinite,0.55401751961365,1.02253869740015e-16,1,1,0,0,15,vertical_permeability,1.3486421835970874e-16,3.336457454912153e-19,2.2677273843002963e-21,1.3486421835970857e-16,4.247376816571586e-10,0.0,1.3486421835970857e-16
21,22,Al-Tabbaa_Wood_1987,kaolinite,0.5565522573016201,2.24331878286094e-16,1,1,0,0,15,horizontal permeability,1.3995463727235551e-16,3.4612132848248143e-19,2.338973110717151e-21,1.3995463727235524e-16,4.4054109995084133e-10,0.0,1.3995463727235524e-16
22,23,Al-Tabbaa_Wood_1987,kaolinite,0.55707291200442,1.02272730883025e-16,1,1,0,0,15,vertical_permeability,1.4102454376351227e-16,3.487429168632295e-19,2.353892713186934e-21,1.4102454376351232e-16,4.438623638835852e-10,0.0,1.4102454376351232e-16
23,24,Al-Tabbaa_Wood_1987,kaolinite,0.55737128166609,1.2702131152526002e-16,1,1,0,0,15,vertical_permeability,1.4164147067554247e-16,3.5025448774001737e-19,2.3624871198883788e-21,1.4164147067554222e-16,4.4577741738255696e-10,0.0,1.4164147067554222e-16
24,25,Al-Tabbaa_Wood_1987,kaolinite,0.56071738184689,2.4159224672472997e-16,1,1,0,0,15,horizontal permeability,1.487539799521637e-16,3.6767698634570437e-19,2.461133067456638e-21,1.4875397995216397e-16,4.678536853608043e-10,0.0,1.4875397995216397e-16
25,26,Al-Tabbaa_Wood_1987,kaolinite,0.56310822375659,2.4948704125830397e-16,1,1,0,0,15,horizontal permeability,1.5406130871647784e-16,3.80672586503313e-19,2.5342345041468105e-21,1.5406130871647765e-16,4.843244767085957e-10,0.0,1.5406130871647765e-16
26,27,Al-Tabbaa_Wood_1987,kaolinite,0.56517362078673,1.38178983215159e-16,1,1,0,0,15,vertical_permeability,1.5880389143001108e-16,3.9228185836375745e-19,2.5992060298055334e-21,1.5880389143001103e-16,4.990410994845049e-10,0.0,1.5880389143001103e-16
27,28,Al-Tabbaa_Wood_1987,kaolinite,0.5672175395231701,2.76740035695023e-16,1,1,0,0,15,horizontal permeability,1.6364621849502267e-16,4.0413200759872824e-19,2.665214374506525e-21,1.6364621849502297e-16,5.140659209111253e-10,0.0,1.6364621849502297e-16
28,29,Al-Tabbaa_Wood_1987,kaolinite,0.57553001956062,3.1238702893335497e-16,1,1,0,0,15,horizontal permeability,1.8497542102542667e-16,4.562917458983701e-19,2.9522750082828755e-21,1.8497542102542701e-16,5.802343040144736e-10,0.0,1.8497542102542701e-16
29,30,Al-Tabbaa_Wood_1987,kaolinite,0.5758911109336999,1.5871317974487902e-16,1,1,0,0,15,vertical_permeability,1.8596505435733984e-16,4.587104629770658e-19,2.965456740213793e-21,1.8596505435733972e-16,5.833040229580431e-10,0.0,1.8596505435733972e-16
30,31,Al-Tabbaa_Wood_1987,kaolinite,0.5771520426163,1.5296955124054302e-16,1,1,0,0,15,vertical_permeability,1.8946435355633258e-16,4.672619946305222e-19,3.0119744130200015e-21,1.8946435355633266e-16,5.941582195295552e-10,0.0,1.8946435355633266e-16
31,32,Al-Tabbaa_Wood_1987,kaolinite,0.58414179152767,1.81376072135675e-16,1,1,0,0,15,vertical_permeability,2.1014908159082784e-16,5.177822316613571e-19,3.284148845013807e-21,2.1014908159082767e-16,6.583141212321485e-10,0.0,2.1014908159082767e-16
32,33,Al-Tabbaa_Wood_1987,kaolinite,0.5929153681914301,2.1140681953747098e-16,1,1,0,0,15,vertical_permeability,2.3950987130419375e-16,5.894153277583361e-19,3.663052082582472e-21,2.3950987130419365e-16,7.493755841997612e-10,0.0,2.3950987130419365e-16
33,34,Al-Tabbaa_Wood_1987,kaolinite,0.59741636601174,3.9137672304450696e-16,1,1,0,0,15,horizontal permeability,2.5621674938228537e-16,6.301393014160441e-19,3.8751907337490716e-21,2.5621674938228547e-16,8.011936099081866e-10,0.0,2.5621674938228547e-16
34,35,Al-Tabbaa_Wood_1987,kaolinite,0.602584966018,1.90280372359873e-16,1,1,0,0,15,vertical_permeability,2.7692835835251034e-16,6.805913349746896e-19,4.135043056606112e-21,2.769283583525099e-16,8.654381853143356e-10,0.0,2.769283583525099e-16
35,36,Al-Tabbaa_Wood_1987,kaolinite,0.60950017989825,2.1583506012149503e-16,1,1,0,0,15,vertical_permeability,3.074480070902738e-16,7.548725865968085e-19,4.5122081142909296e-21,3.0744800709027364e-16,9.601217780499369e-10,0.0,3.0744800709027364e-16
