,Unnamed: 0,well,sample_number,depth,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,porosity,permeability_measured,kaolinite_fraction,illite_fraction,smectite_fraction,note,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
0,0,AST-02,79,1517.25,16.1,4.8,6.6,7.1,5.0,2.4,2.5,4.7,39.7,9.7,0.8,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.243,9.020478962e-15,0.15,0.5,0.35,clay composition estimated,101.06846131904142,-10.25589989913246,1.0135470215461544,-4.454080733145343,1.0135470215461544,6.338212547103676e-05,1.0199858664252895e-18,2.6391615463816967e-21,3.8411830367510034e-23,1.4675228132593967e-21,8.242731541903396e-14,0.0,4.660192559422422e-15
1,1,AST-02,80,1517.75,13.6,5.4,12.8,13.1,9.1,4.4,9.6,17.1,12.3,0.7,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.136,0.284,1.056007931e-14,0.15,0.5,0.35,clay composition estimated,143.54909032939145,-10.584529483338486,1.090894733302014,-4.596802748156182,1.090894733302014,3.0194741150031896e-05,2.189230257552014e-18,5.624925956640041e-21,7.267866398235821e-23,3.0032711807481378e-21,8.530494160725292e-14,0.0,8.266364642667573e-15
2,2,AST-02,81,1518.22,56.7,0.0,1.6,1.6,1.0,0.0,3.8,11.6,20.7,1.8,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670000000000001,0.307,2.7929929390000002e-14,0.15,0.5,0.35,clay composition estimated,24.26549534760551,-9.832383672579397,0.6384959046198511,-4.270149972956861,0.6384959046198511,7.056997587792641e-05,3.26248212795148e-18,8.351841507787649e-21,1.0140586241073946e-22,4.365614821988484e-21,4.381188030283604e-12,0.0,3.4491734932379893e-17
3,3,AST-02,82,1518.75,16.2,6.4,8.1,6.8,5.0,2.0,3.0,9.5,38.0,3.9,0.3,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.28800000000000003,6.661732275e-14,0.15,0.5,0.35,clay composition estimated,117.83943351940594,-10.321194556278245,1.0787335511684255,-4.482437842441524,1.0787335511684255,6.714720825229681e-05,2.349623797608688e-18,6.03311598758831e-21,7.709830784612995e-23,3.209122410730977e-21,1.3549686221214626e-13,0.0,7.881180596417949e-15
4,4,AST-02,83,1519.25,16.5,6.9,12.6,10.9,8.4,4.6,6.2,10.5,22.2,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.237,2.3883543859999998e-15,0.15,0.5,0.35,clay composition estimated,148.00464902072852,-10.709372789151482,1.1408426404173235,-4.651021506973327,1.1408426404173235,3.1102032285199363e-05,9.057875008174611e-19,2.3462363864042585e-21,3.478642491252721e-23,1.3129048737439094e-21,3.426838243239015e-14,0.0,2.0471263484975423e-15
5,5,AST-02,84,1519.8,15.9,5.2,12.2,12.2,9.6,6.3,11.0,17.4,8.9,0.5,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.272,5.32938582e-15,0.15,0.5,0.35,clay composition estimated,139.6630409703096,-10.685191265717869,1.0150672904467977,-4.640519604782095,1.0150672904467977,2.9318715651791682e-05,1.764249363061105e-18,4.5419903603381575e-21,6.06943557161053e-23,2.453064719812029e-21,7.321724925991089e-14,0.0,4.743551376003173e-15
6,6,AST-02,85,1520.28,12.7,4.0,8.7,8.8,7.5,5.9,12.7,22.2,15.8,1.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.294,1.618554212e-14,0.15,0.5,0.35,clay composition estimated,113.61257381606741,-10.406546334097634,0.9666713408504628,-4.519505648569115,0.9666713408504628,4.0173208063590306e-05,2.6096793996306282e-18,6.6944020613367164e-21,8.416044780946631e-23,3.541047748102302e-21,1.6124941011903097e-13,0.0,1.717455953955277e-14
7,7,AST-02,86,1520.75,13.4,8.2,12.1,11.5,8.2,4.6,8.1,5.7,25.5,1.8,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.229,1.154700261e-14,0.15,0.5,0.35,clay composition estimated,157.3380229189087,-10.685076119355127,1.1862150004154033,-4.640469597352143,1.1862150004154033,2.537077279538987e-05,7.706325385245677e-19,1.999112980112715e-21,3.0395948616024604e-23,1.1283173504065693e-21,2.5931430865756133e-14,0.0,2.6754665310116454e-15
8,8,AST-02,87,1521.25,13.4,9.0,13.0,10.1,6.3,3.4,6.2,10.4,26.5,1.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.241,6.493955314e-15,0.15,0.5,0.35,clay composition estimated,162.1205538803569,-10.784368759901236,1.2554643975569542,-4.68359184323492,1.2554643975569542,4.018763711532339e-05,9.806241388659323e-19,2.5382323611442495e-21,3.717019516936863e-23,1.4143577348094996e-21,3.0839524015637326e-14,0.0,3.204366489120086e-15
9,9,AST-02,88,1522.1,15.0,5.1,8.8,6.0,4.0,2.6,14.1,34.5,9.1,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.312,2.6943006089999994e-14,0.15,0.5,0.35,clay composition estimated,113.86769702542409,-10.38761337301191,0.9009913430156732,-4.511283168043498,0.9009913430156732,5.20937197301201e-05,3.54996938573119e-18,9.08075289872468e-21,1.088140850467086e-22,4.725354664490643e-21,2.1578781998982023e-13,0.0,1.5313979097223364e-14
10,10,AST-02,89,1522.57,11.2,8.3,11.2,9.4,7.7,6.3,14.6,25.7,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.29,4.717493374e-14,0.15,0.5,0.35,clay composition estimated,155.78042964821202,-10.678122471690084,1.1388708349186314,-4.637449666542117,1.1388708349186314,4.582580894081663e-05,2.4336401749544845e-18,6.246828346106542e-21,7.939335244178241e-23,3.3165968990295186e-21,8.019710651820001e-14,0.0,1.1945669813248181e-14
11,11,AST-02,90,1523.5,12.3,6.1,9.7,7.2,6.4,5.3,15.7,27.4,9.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.282,8.48754038e-14,0.15,0.5,0.35,clay composition estimated,129.80776597405708,-10.545478841478408,1.0845009739719809,-4.579843269881569,1.0845009739719809,3.770222020063079e-05,2.11271202028579e-18,5.430096921070328e-21,7.0551526212713e-23,2.9047387658437415e-21,1.0081142425458362e-13,0.0,1.1913523397385505e-14
12,12,AST-02,91,1523.6,16.8,6.3,9.5,7.8,7.2,2.7,12.5,17.0,19.5,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.274,5.803109003999998e-14,0.15,0.5,0.35,clay composition estimated,128.14412873457752,-10.47589098994949,0.98767014366202,-4.549621649955057,0.98767014366202,4.9438877607622916e-05,1.8296026047360607e-18,4.708666415415623e-21,6.25658615234684e-23,2.5381692463262912e-21,9.007115844633481e-14,0.0,4.854838638774217e-15
13,13,AST-02,93,1524.57,13.9,5.5,6.6,6.9,5.3,3.5,12.1,34.7,10.3,0.4,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.309,6.454478382e-13,0.15,0.5,0.35,clay composition estimated,111.91795912034115,-10.397295497111244,0.9253542726145824,-4.515488061112942,0.9253542726145824,5.5329783845319156e-05,3.3748775371190235e-18,8.636882659906819e-21,1.0431450178437276e-22,4.506484205644854e-21,2.1277057371113723e-13,0.0,1.8248001952352967e-14
14,14,AST-02,94,1525.0,10.6,3.9,5.5,6.4,6.7,5.7,13.5,29.5,16.9,0.9,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.28300000000000003,1.8652850370000002e-13,0.15,0.5,0.35,clay composition estimated,98.83349396258072,-10.30839156461551,0.9268696876880024,-4.476877573810544,0.9268696876880024,6.277306743683349e-05,2.1506717703682518e-18,5.526757150559351e-21,7.160833442288622e-23,2.953646804769845e-21,1.7690615614203693e-13,0.0,2.650575634390512e-14
15,15,AST-02,95,1525.57,17.1,6.3,8.0,8.7,6.6,3.9,6.9,14.8,26.0,1.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.243,8.862571234e-15,0.15,0.5,0.35,clay composition estimated,122.97772096002315,-10.48443157773811,1.1022526520020592,-4.553330780103865,1.1022526520020592,5.44391360686793e-05,1.0199858664252895e-18,2.6391615463816967e-21,3.8411830367510034e-23,1.4675228132593967e-21,5.567363562492932e-14,0.0,2.815979671751203e-15
16,16,AST-02,96,1526.14,21.2,7.9,9.7,10.4,7.3,5.1,10.1,13.7,13.3,0.6,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.222,2.240315891e-14,0.15,0.5,0.35,clay composition estimated,143.25607312366776,-10.69264740000316,1.0492486227312376,-4.643757762758523,1.0492486227312376,2.9188208161172963e-05,6.668277538821831e-19,1.732131085504713e-21,2.6937319411758335e-23,9.851819800653834e-22,2.7184450404079693e-14,0.0,7.19233799737432e-16
17,17,AST-02,97,1526.6,21.4,7.2,8.7,9.9,8.8,6.8,10.2,10.8,15.0,0.9,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.209,1.213915659e-15,0.15,0.5,0.35,clay composition estimated,135.6914061827122,-10.716360700226714,1.0643192851134025,-4.65405631819333,1.0643192851134025,3.1992205556958216e-05,5.051757941175625e-19,1.3155792027839402e-21,2.136420202883565e-23,7.593905987417136e-22,2.31288343700863e-14,0.0,5.789544557434573e-16
18,18,AST-02,98,1527.1,21.6,10.8,12.8,15.0,11.3,5.9,5.5,5.4,11.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000005,0.202,2.121885095e-15,0.15,0.5,0.35,clay composition estimated,183.937129210526,-11.037717482175877,1.0989703620753457,-4.793619795316038,1.0989703620753457,2.488638045826629e-05,4.327412976083745e-19,1.1285482561042521e-21,1.8774481633829397e-23,6.568150608803579e-22,1.0822155896923158e-14,0.0,2.988613254717843e-16
19,19,AST-02,99,1527.6,25.6,8.2,10.7,12.0,9.4,4.4,6.1,15.0,8.1,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.205,1.944238901e-15,0.15,0.5,0.35,clay composition estimated,150.62597698475528,-10.846181736272682,1.0092267064851044,-4.710436877783059,1.0092267064851044,1.7066529771999607e-05,4.626394318374498e-19,1.2057796692386037e-21,1.985147058630454e-23,6.992746989614435e-22,1.722638095921992e-14,0.0,2.2077922873699967e-16
20,20,AST-02,100,1528.1,15.5,0.4,2.3,6.0,9.7,10.1,20.4,27.3,6.3,0.4,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.155,0.253,8.635578875e-15,0.15,0.5,0.35,clay composition estimated,65.53741202100115,-10.175531034613083,0.6753052310165607,-4.419176978767749,0.6753052310165607,4.720595189306111e-05,1.2378224196833457e-18,3.197113711200688e-21,4.5149421367610884e-23,1.7595680165427825e-21,2.3631343283224615e-13,0.0,1.2990792468133158e-14
21,21,AST-02,101,1528.6,22.1,6.4,8.4,9.3,6.3,4.1,10.5,23.3,7.6,0.9,0.2,0.1,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.212,1.57907728e-15,0.15,0.5,0.35,clay composition estimated,125.42253853274595,-10.606693422985519,1.035324959924272,-4.6064284248421234,1.035324959924272,4.021307612169072e-05,5.391885446284049e-19,1.4033151731699052e-21,2.255866791474745e-23,8.0723208767264535e-22,2.8845519711167866e-14,0.0,6.177997082268966e-16
22,22,AST-02,102,1529.1,25.9,7.8,9.5,12.0,8.1,3.4,6.0,11.5,14.0,0.8,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.204,2.062669697e-14,0.15,0.5,0.35,clay composition estimated,141.59619053425084,-10.805947213327293,1.1723296304425503,-4.6929632464858635,1.1723296304425503,1.9559298968656045e-05,4.524874437169007e-19,1.1795608385039902e-21,1.9487102286181956e-23,6.848771790986692e-22,1.907575571829124e-14,0.0,2.250404908932544e-16
23,23,AST-02,103,1529.6,21.6,6.2,6.8,7.1,6.4,2.9,10.9,31.0,3.8,1.1,1.6,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000005,0.217,2.17123126e-14,0.15,0.5,0.35,clay composition estimated,115.3561783798077,-10.45381531255132,0.8932463511362546,-4.540034305076757,0.8932463511362546,3.6751728459589444e-05,6.001522479847848e-19,1.5604459638003979e-21,2.4669182280211573e-23,8.925195680433626e-22,3.784547569087225e-14,0.0,8.52111417470763e-16
24,24,AST-02,104,1531.08,18.9,5.8,7.9,10.6,10.0,5.8,15.6,23.4,1.6,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.242,5.32938582e-15,0.15,0.5,0.35,clay composition estimated,127.29366069046979,-10.66900609373124,0.8948083405342169,-4.633490473899645,0.8948083405342169,3.9264149399649684e-05,1.0001390543326396e-18,2.5882759979565745e-21,3.778678628251775e-23,1.4407324416475627e-21,5.0984945791214355e-14,0.0,1.908568191347971e-15
25,25,AST-02,105,1531.6,23.5,7.0,8.9,8.7,6.3,2.9,9.7,27.1,4.9,0.3,0.3,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.226,7.905255633e-15,0.15,0.5,0.35,clay composition estimated,129.8317853599347,-10.594527813803557,0.9998359809802494,-4.60114496790541,0.9998359809802494,3.704733173479552e-05,7.245821871635825e-19,1.880716880669109e-21,2.8871769550867414e-23,1.064977788853829e-21,3.587474985479212e-14,0.0,6.107149109586004e-16
26,26,AST-02,106,1532.07,37.6,9.7,14.3,14.7,10.8,7.8,4.7,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.224,1.509992649e-13,0.15,0.5,0.35,clay composition estimated,175.3464513004636,-11.23504432829766,0.7853834836135503,-4.879317755718102,0.7853834836135503,1.4603935932818369e-05,6.951970815396417e-19,1.8051314930019275e-21,2.789084767106938e-23,1.0244298214489116e-21,1.8893614087825448e-14,0.0,3.502368974621662e-17
27,27,AST-02,108,1533.1,24.0,10.4,12.2,15.0,12.5,10.5,7.6,1.8,1.4,1.8,1.5,0.7,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.215,1.4014310859999995e-14,0.15,0.5,0.35,clay composition estimated,180.85727902005118,-11.098097161456499,1.0395065817932685,-4.819842356846699,1.0395065817932685,2.3254504380827968e-05,5.751055517896398e-19,1.4959080409933362e-21,2.3806583770314734e-23,8.575482400273736e-22,1.477126583571553e-14,0.0,2.7085665897479197e-16
28,28,AST-02,109,1533.6,17.2,7.2,8.6,8.6,5.8,2.7,0.6,0.1,1.9,1.1,1.0,1.4,1.1,2.0,1.8,1.8,2.5,4.9,4.0,4.7,5.7,4.4,4.2,3.1,1.8,1.2,0.3,0.3,0.172,0.18,1.993585066e-15,0.15,0.5,0.35,clay composition estimated,115.76923019639379,-9.360106765074995,1.9510472683315796,-4.065042718097368,1.9510472683315796,0.00015406184557531443,2.587231519287118e-19,6.779205886268509e-22,1.2219453958618256e-23,4.0549250911781592e-22,1.6481848912458134e-14,0.0,8.095691619308833e-16
29,29,AST-02,110,1534.04,31.5,8.6,12.0,15.8,14.3,11.2,5.8,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.201,7.174932391e-15,0.15,0.5,0.35,clay composition estimated,167.525485891543,-11.222083447300696,0.8623856990056588,-4.873688916620512,0.8623856990056588,1.4479658670483286e-05,4.2314138713629007e-19,1.1037399924789787e-21,1.8426100209476396e-23,6.43143545256025e-22,1.2763403428549256e-14,0.0,6.415109053972298e-17
30,30,AST-02,111,1534.6,34.2,8.2,10.8,14.9,14.3,7.2,6.5,2.5,0.8,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.342,0.191,1.648161911e-14,0.15,0.5,0.35,clay composition estimated,156.78439701865378,-11.091872128214195,0.9567959529830684,-4.817138859259903,0.9567959529830684,1.3331917057726539e-05,3.3650453244467563e-19,8.796015650098974e-22,1.521819126255231e-23,5.18822375373756e-22,1.1642002474775744e-14,0.0,3.564368630492593e-17
31,31,AST-02,112,1535.1,6.2,10.9,14.1,13.7,8.4,5.2,4.0,2.9,12.2,10.7,6.7,3.0,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.062,,,0.15,0.5,0.35,clay composition estimated,187.101947212439,-10.569515340019985,1.204516017937617,-4.590282188562453,1.204516017937617,2.3908569124941414e-05,,,,,,0.0,
32,32,AST-02,113,1229.1,6.7,8.5,11.4,11.0,7.7,5.4,5.9,7.4,11.7,11.4,7.6,3.8,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.067,0.3,1.87515427e-14,0.15,0.5,0.35,clay composition estimated,156.29854861529404,-10.560323393075695,1.2903522855115666,-4.586290176726599,1.2903522855115666,4.2584377502937185e-05,2.8949174089896984e-18,7.41902890297789e-21,9.177418437012289e-23,3.9027537069907775e-21,9.413569768768668e-14,0.0,3.013940478349864e-14
