,phi,cv,k_cl,k_sd,k_cfs,k,k_normalized,k_sd_calc,k_sd_Knoll1996,k_cl_calc_Knoll1996,k_cl_Knoll1996,k_calc_Knoll1996,k_normalized_Knoll1996
0,0.4,0.0,,,,,,4.400033208160865e-10,4.4e-10,8.595127780293576e-17,1.5e-15,4.4e-10,1.0
1,0.396,0.01,,,,,,4.206151588225284e-10,4.4e-10,8.092477092382676e-17,1.5e-15,3.103458131468885e-10,0.9722705754776652
2,0.392,0.02,,,,,,4.0197188947285636e-10,4.4e-10,7.617622060293073e-17,1.5e-15,2.188966448586442e-10,0.9445411509553306
3,0.388,0.03,,,,,,3.8404704679220493e-10,4.4e-10,7.169056186270564e-17,1.5e-15,1.5439467555404874e-10,0.9168117264329958
4,0.384,0.04,,,,,,3.668151319157725e-10,4.4e-10,6.74535635647321e-17,1.5e-15,1.0889941165993476e-10,0.8890823019106613
5,0.38,0.05,,,,,,3.502515737147809e-10,4.4e-10,6.34517797737018e-17,1.5e-15,7.681017377913679e-11,0.8613528773883264
6,0.376,0.06,,,,,,3.3433269122131554e-10,4.4e-10,5.967250415589224e-17,1.5e-15,5.417662690781825e-11,0.8336234528659919
7,0.372,0.07,,,,,,3.190356577603906e-10,4.4e-10,5.610372720876633e-17,1.5e-15,3.821247575286918e-11,0.8058940283436571
8,0.368,0.08,,,,,,3.0433846670274896e-10,4.4e-10,5.2734096132964335e-17,1.5e-15,2.6952458772454393e-11,0.7781646038213222
9,0.36400000000000005,0.09,,,,,,2.90219898756748e-10,4.4e-10,4.955287717146303e-17,1.5e-15,1.9010415304648517e-11,0.7504351792989877
10,0.36,0.1,,,,,,2.7665949072222944e-10,4.4e-10,4.654992025314533e-17,1.5e-15,1.3408642718139076e-11,0.7227057547766529
11,0.35600000000000004,0.11,,,,,,2.6363750563354526e-10,4.4e-10,4.37156257895458e-17,1.5e-15,9.457536653538574e-12,0.6949763302543184
12,0.35200000000000004,0.12,,,,,,2.5113490422291e-10,4.4e-10,4.104091348418086e-17,1.5e-15,6.670697507065763e-12,0.6672469057319835
13,0.34800000000000003,0.13,,,,,,2.3913331763903497e-10,4.4e-10,3.8517193023722593e-17,1.5e-15,4.705052368380091e-12,0.6395174812096487
14,0.34400000000000003,0.14,,,,,,2.2761502135952433e-10,4.4e-10,3.613633652937674e-17,1.5e-15,3.3186211435536713e-12,0.6117880566873142
15,0.34,0.15,,,,,,2.1656291023885715e-10,4.4e-10,3.3890652655257897e-17,1.5e-15,2.3407276757332315e-12,0.5840586321649797
16,0.336,0.16,,,,,,2.059604746369042e-10,4.4e-10,3.1772862228355845e-17,1.5e-15,1.6509887133655765e-12,0.5563292076426448
17,0.332,0.17,,,,,,1.9579177757588106e-10,4.4e-10,2.977607533191624e-17,1.5e-15,1.1644941698767636e-12,0.5285997831203103
18,0.328,0.18,,,,,,1.8604143287641103e-10,4.4e-10,2.789376974075628e-17,1.5e-15,8.213542955800332e-13,0.5008703585979755
19,0.324,0.19,,,,,,1.7669458422598747e-10,4.4e-10,2.6119770623245537e-17,1.5e-15,5.793269698715342e-13,0.4731409340756406
20,0.32,0.2,,,,,,1.6773688513558386e-10,4.4e-10,2.4448231430440373e-17,1.5e-15,4.086174989606912e-13,0.4454115095533061
21,0.316,0.21,,,,,,1.591544797424812e-10,4.4e-10,2.2873615898203422e-17,1.5e-15,2.8821074995682653e-13,0.41768208503097154
22,0.312,0.22,,,,,,1.5093398441956766e-10,4.4e-10,2.1390681093098698e-17,1.5e-15,2.032840898932405e-13,0.38995266050863675
23,0.308,0.23,,,,,,1.4306247015342687e-10,4.4e-10,1.9994461437457433e-17,1.5e-15,1.43382650403961e-13,0.3622232359863019
24,0.30400000000000005,0.24,,,,,,1.3552744565547512e-10,4.4e-10,1.8680253653287212e-17,1.5e-15,1.0113228461539384e-13,0.33449381146396734
25,0.30000000000000004,0.25,,,,,,1.283168411722424e-10,4.4e-10,1.744360256867153e-17,1.5e-15,7.133177523719757e-14,0.30676438694163255
26,0.29600000000000004,0.26,,,,,,1.2141899296262411e-10,4.4e-10,1.6280287734002304e-17,1.5e-15,5.031254042999808e-14,0.2790349624192977
27,0.29200000000000004,0.27,,,,,,1.1482262841156227e-10,4.4e-10,1.518631079882358e-17,1.5e-15,3.548701425280328e-14,0.25130553789696314
28,0.28800000000000003,0.28,,,,,,1.0851685175116091e-10,4.4e-10,1.415788360326188e-17,1.5e-15,2.5030105214639654e-14,0.22357611337462832
29,0.28400000000000003,0.29,,,,,,1.0249113036169721e-10,4.4e-10,1.3191416940993668e-17,1.5e-15,1.7654518990885308e-14,0.1958466888522938
30,0.28,0.3,,,,,,9.67352816263682e-11,4.4e-10,1.2283509953470074e-17,1.5e-15,1.2452286481689732e-14,0.1681172643299593
31,0.276,0.31,,,,,,9.123946031491356e-11,4.4e-10,1.1430940117698924e-17,1.5e-15,8.782988576586373e-15,0.14038783980762445
32,0.272,0.32,,,,,,8.599414647248848e-11,4.4e-10,1.0630653792287199e-17,1.5e-15,6.194917571955747e-15,0.11265841528528961
33,0.268,0.33,,,,,,8.099013379132356e-11,4.4e-10,9.879757288687096e-18,1.5e-15,4.369469843742166e-15,0.08492899076295508
34,0.264,0.34,,,,,,7.621851844381019e-11,4.4e-10,9.17550843667721e-18,1.5e-15,3.0819242538112937e-15,0.057199566240620246
35,0.26,0.35000000000000003,,,,,,7.167068835669328e-11,4.4e-10,8.515308615057653e-18,1.5e-15,2.1737779286504156e-15,0.029470141718285724
36,0.256,0.36,,,,,,6.733831290703932e-11,4.4e-10,7.896695220355358e-18,1.5e-15,1.5332338156085742e-15,0.001740717195950884
