depth,GR,RHOB,DRHO,NPHI
1661,11.831314,,,
1660.9,13.863369,,,
1660.8,14.574923,,,
1660.7,12.55057,,,
1660.6,9.659645,,,
1660.5,6.968274,,,
1660.4,6.892582,,,
1660.3,8.213909,,,
1660.2,9.405157,,,
1660.1,9.635227,,,
1660,9.958477,,,
1659.9,9.955822,,,
1659.8,9.67977,,,
1659.7,9.69396,,,
1659.6,9.879429,,,
1659.5,9.708742,,,
1659.4,9.078522,,,
1659.3,9.245077,,,
1659.2,9.855219,,,
1659.1,9.322084,,,
1659,8.29203,,,
1658.9,9.55549,,,
1658.8,11.246984,,,
1658.7,11.438398,,,
1658.6,10.477146,,,
1658.5,9.499043,,,
1658.4,9.478592,,,
1658.3,10.414143,,,
1658.2,9.834333,,,
1658.1,8.306892,,,
1658,8.428688,,,
1657.9,9.050598,,,
1657.8,9.731476,,,
1657.7,11.011955,,,
1657.6,12.226725,,,
1657.5,13.841209,,,
1657.4,15.711111,,,
1657.3,16.982628,,,
1657.2,19.179756,,,
1657.1,22.182156,,,
1657,24.231106,,,
1656.9,22.331879,,,
1656.8,18.880283,,,
1656.7,18.900063,,,
1656.6,21.929401,,,
1656.5,22.382458,,,
1656.4,19.549007,,,
1656.3,17.552467,,,
1656.2,18.041973,,,
1656.1,18.507519,,,
1656,17.430088,,,
1655.9,16.637661,,,
1655.8,16.638901,,,
1655.7,16.651127,,,
1655.6,18.373222,,,
1655.5,20.993977,,,
1655.4,22.148651,,,
1655.3,22.489086,,,
1655.2,22.108429,,,
1655.1,22.216759,,,
1655,23.039688,,,
1654.9,23.014355,,,
1654.8,23.937572,,,
1654.7,27.299965,,,
1654.6,29.553822,,,
1654.5,27.527107,,,
1654.4,23.75885,,,
1654.3,22.920017,,,
1654.2,19.96854,,,
1654.1,16.044827,,,
1654,16.358032,,,
1653.9,17.987427,,,
1653.8,20.56237,,,
1653.7,22.566059,,,
1653.6,22.150116,,,
1653.5,19.867146,,,
1653.4,17.734814,,,
1653.3,17.06485,,,
1653.2,16.711487,,,
1653.1,15.965895,,,
1653,15.34893,,,
1652.9,13.862293,,,
1652.8,13.887405,,,
1652.7,14.559898,,,
1652.6,14.693949,,,
1652.5,15.16032,,,
